name	status	hash	task_id	native_id	exit	attempt	submit	start	complete	duration	realtime	queue	cpus	time	disk	memory	%cpu	%mem	rss	peak_rss	vmem	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt
Adapter_Trimmer_Quality_Module_FastQC (2)	CACHED	d4/0d23ee	2	874611	0	1	2025-04-23 16:42:17.895	2025-04-23 16:42:21.621	2025-04-23 16:49:31.651	7m 14s	7m 7s	short	1	1h 40m	-	10 GB	98.1%	0.1%	215.6 MB	215.6 MB	2.6 GB	2.6 GB	4.7 GB	3.4 MB	9929991	11311	22.6 MB	5.5 MB	80	4251
Adapter_Trimmer_Quality_Module_FastQC (1)	CACHED	c7/7a0117	1	874612	0	1	2025-04-23 16:42:17.944	2025-04-23 16:42:21.635	2025-04-23 16:49:21.652	7m 4s	6m 57s	short	1	1h 40m	-	10 GB	98.0%	0.1%	215.3 MB	215.3 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9945445	11310	22.6 MB	5.4 MB	98	4251
Adapter_Trimmer_Quality_Module_FastQC (3)	CACHED	b6/af3488	6	874613	0	1	2025-04-23 16:42:17.984	2025-04-23 16:42:21.637	2025-04-23 16:51:01.654	8m 44s	8m 39s	short	1	1h 40m	-	10 GB	97.2%	0.1%	217.8 MB	217.8 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9968434	11110	22.6 MB	7.7 MB	226	4251
Adapter_Trimmer_Quality_Module_FastQC (4)	CACHED	4b/96646f	20	874615	0	1	2025-04-23 16:42:18.083	2025-04-23 16:42:21.641	2025-04-23 16:49:21.666	7m 4s	6m 58s	short	1	1h 40m	-	10 GB	98.0%	0.1%	213.9 MB	214.5 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9966964	11158	22.6 MB	5.2 MB	111	4252
Adapter_Trimmer_Quality_Module_FastQC (5)	CACHED	53/60ed59	21	874614	0	1	2025-04-23 16:42:18.043	2025-04-23 16:42:21.639	2025-04-23 16:51:06.654	8m 49s	8m 41s	short	1	1h 40m	-	10 GB	97.2%	0.1%	200.4 MB	200.4 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	10045559	11162	22.6 MB	7.8 MB	139	4251
Adapter_Trimmer_Quality_Module_FastQC (6)	CACHED	c5/d04491	22	874616	0	1	2025-04-23 16:42:18.123	2025-04-23 16:42:21.643	2025-04-23 16:50:31.654	8m 14s	8m 10s	short	1	1h 40m	-	10 GB	97.8%	0.1%	215.3 MB	220.5 MB	2.6 GB	2.7 GB	4.8 GB	3.4 MB	10034397	11152	22.6 MB	7.7 MB	197	4251
Check_and_Build_Module_check_files	CACHED	56/54bca7	5	874623	0	1	2025-04-23 16:42:18.501	2025-04-23 16:42:21.655	2025-04-23 16:42:26.624	8.1s	91ms	short	1	4h	-	32 GB	8.9%	0.0%	0	0	0	0	119.4 KB	238 B	252	12	467 KB	0	0	0
Adapter_Trimmer_Quality_Module_FastQC (8)	CACHED	b8/086bbf	24	874619	0	1	2025-04-23 16:42:18.298	2025-04-23 16:42:21.648	2025-04-23 16:49:16.653	6m 58s	6m 52s	short	1	1h 40m	-	10 GB	97.6%	0.1%	217.1 MB	223.3 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9975772	11128	22.6 MB	5.3 MB	121	4252
Adapter_Trimmer_Quality_Module_FastQC (7)	CACHED	09/ab9845	23	874617	0	1	2025-04-23 16:42:18.177	2025-04-23 16:42:21.645	2025-04-23 16:49:26.652	7m 8s	7m 2s	short	1	1h 40m	-	10 GB	98.0%	0.1%	215.4 MB	218.2 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9951438	11297	22.6 MB	5.2 MB	4	4252
Adapter_Trimmer_Quality_Module_FastQC (9)	CACHED	8f/4de4fe	25	874618	0	1	2025-04-23 16:42:18.235	2025-04-23 16:42:21.647	2025-04-23 16:49:21.681	7m 3s	6m 58s	short	1	1h 40m	-	10 GB	97.8%	0.1%	219.7 MB	222.8 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9952643	11174	22.6 MB	5.1 MB	160	4251
