name	status	hash	task_id	native_id	exit	attempt	submit	start	complete	duration	realtime	queue	cpus	time	disk	memory	%cpu	%mem	rss	peak_rss	vmem	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt
Load_Data_and_QC_h5_ES (2)	COMPLETED	d4/f1d5b3	2	7b7a9c94-62cf-4221-a4a7-dc08a9a3ffbf	0	1	2025-04-24 18:35:01.068	2025-04-24 18:35:20.325	2025-04-24 18:38:20.418	3m 19s	3m	VioletTX-Default	1	-	-	200 GB	128.7%	0.8%	1.9 GB	2 GB	7.4 GB	7.5 GB	147.8 MB	56.4 MB	27369	8042	0	56.6 MB	1648	217
Load_Data_and_QC_h5_ES (8)	COMPLETED	2a/66e4bb	8	9fc5ae7f-a487-4467-a7df-9e4e30d39a5b	0	1	2025-04-24 18:35:01.065	2025-04-24 18:35:20.325	2025-04-24 18:40:10.404	5m 9s	4m 48s	VioletTX-Default	1	-	-	200 GB	138.4%	1.2%	3 GB	3.2 GB	8.4 GB	8.7 GB	211.3 MB	107.4 MB	32657	13760	0	107.5 MB	1645	354
Load_Data_and_QC_h5_ES (9)	COMPLETED	a1/84a43d	9	dc9b613d-2392-4044-bcd6-7c6488dd9b11	0	1	2025-04-24 18:35:01.072	2025-04-24 18:39:40.324	2025-04-24 18:41:30.396	6m 29s	1m 47s	VioletTX-Default	1	-	-	200 GB	213.8%	0.5%	2.3 GB	2.5 GB	1 TB	1 TB	192.5 MB	68.7 MB	31062	9083	0	68.9 MB	1614	964
Load_Data_and_QC_h5_ES (5)	COMPLETED	b3/e050ee	5	5d953b9f-24ef-48c1-8097-63115f8ee5a9	0	1	2025-04-24 18:35:01.072	2025-04-24 18:39:40.325	2025-04-24 18:45:00.407	9m 59s	5m 15s	VioletTX-Default	1	-	-	200 GB	146.8%	0.9%	4.5 GB	4.5 GB	15.2 GB	15.2 GB	319.9 MB	265.1 MB	41359	18778	0	265.3 MB	1660	385
Load_Data_and_QC_h5_ES (6)	COMPLETED	3c/08b4df	6	602d46b4-78b0-4bd9-a1ba-1331b3c8fffa	0	1	2025-04-24 18:35:01.063	2025-04-24 18:39:20.327	2025-04-24 18:45:20.371	10m 19s	5m 52s	VioletTX-Default	1	-	-	200 GB	121.4%	2.0%	4.9 GB	4.9 GB	10.2 GB	10.2 GB	351.3 MB	285.1 MB	43969	20908	0	285.2 MB	1657	393
Load_Data_and_QC_h5_ES (13)	COMPLETED	66/4ec516	13	e869b545-41f7-4f19-a4f2-d8af5d508bae	0	1	2025-04-24 18:35:01.061	2025-04-24 18:35:20.325	2025-04-24 18:46:20.396	11m 19s	10m 55s	VioletTX-Default	1	-	-	200 GB	214.8%	1.4%	6.6 GB	6.8 GB	17.5 GB	17.5 GB	427.6 MB	368.2 MB	50326	30616	0	368.4 MB	1661	3113
Load_Data_and_QC_h5_ES (10)	COMPLETED	c9/1cdcf7	10	c027b763-b6b7-47fb-b2d6-a6639d2aa744	0	1	2025-04-24 18:35:01.072	2025-04-24 18:40:10.530	2025-04-24 18:48:20.398	13m 19s	7m 55s	VioletTX-Default	1	-	-	200 GB	135.9%	2.6%	6.1 GB	6.5 GB	11.5 GB	11.7 GB	421.4 MB	352.4 MB	49794	28633	0	352.6 MB	1654	574
Load_Data_and_QC_h5_ES (1)	COMPLETED	a6/0a91a4	1	546fb017-7098-466b-b2dc-58626e5eefa6	0	1	2025-04-24 18:35:01.059	2025-04-24 18:39:20.327	2025-04-24 18:49:00.421	13m 59s	9m 33s	VioletTX-Default	1	-	-	200 GB	127.6%	2.3%	5.5 GB	5.9 GB	10.9 GB	11.2 GB	341 MB	303.9 MB	43112	23496	0	304 MB	1649	651
Load_Data_and_QC_h5_ES (17)	COMPLETED	32/e6a096	17	dd103b11-b572-4237-80a5-bd65ff732f66	0	1	2025-04-24 18:35:01.069	2025-04-24 18:39:40.324	2025-04-24 18:50:30.431	15m 29s	10m 33s	VioletTX-Default	1	-	-	200 GB	133.5%	2.8%	6.7 GB	7.5 GB	12.1 GB	12.7 GB	376 MB	344.5 MB	46022	28227	0	344.6 MB	1653	700
Load_Data_and_QC_h5_ES (15)	COMPLETED	dc/271163	15	d4088cfc-7c78-4337-8289-8cba194d72bb	0	1	2025-04-24 18:35:01.086	2025-04-24 18:40:10.530	2025-04-24 18:51:30.408	16m 29s	11m 9s	VioletTX-Default	1	-	-	200 GB	196.1%	1.7%	8.2 GB	8.7 GB	18.9 GB	19.3 GB	554.5 MB	447.5 MB	60880	39136	0	447.7 MB	1652	689
Load_Data_and_QC_h5_ES (4)	COMPLETED	07/ea939e	4	e0190e4a-7064-44d5-aab5-c2ff9eff74c7	0	1	2025-04-24 18:35:01.060	2025-04-24 18:35:20.323	2025-04-24 18:59:50.415	24m 49s	24m 21s	VioletTX-Default	1	-	-	200 GB	493.4%	10.9%	52.1 GB	52.1 GB	61.9 GB	61.9 GB	206.8 MB	116.8 MB	32304	14981	0	116.9 MB	1677	16438
Load_Data_and_QC_h5_ES (16)	COMPLETED	47/a63f59	16	5485c58c-ff3e-4f4d-b6df-65b165f3b8c5	0	1	2025-04-24 18:35:01.059	2025-04-24 18:35:20.324	2025-04-24 19:00:50.410	25m 49s	25m 20s	VioletTX-Default	1	-	-	200 GB	420.7%	10.1%	48.5 GB	48.5 GB	59.1 GB	59.1 GB	380.7 MB	352.6 MB	46405	29135	0	352.7 MB	1648	14620
